MLSNumber,ListPrice,ListingContractDate,County,YEAR,MONTH,MONTH_NAME
21752556,316900,2020-11-17,Johnson,2020,11,November
21743257,319900,2020-10-01,Johnson,2020,10,October
21726229,319900,2020-07-21,Johnson,2020,7,July
21716148,324900,2020-06-04,Johnson,2020,6,June
21724375,319999,2020-07-11,Johnson,2020,7,July
21726235,315000,2020-07-23,Johnson,2020,7,July
21719934,324900,2020-06-19,Johnson,2020,6,June
21736227,329000,2020-09-01,Johnson,2020,9,September
21735302,324000,2020-08-25,Johnson,2020,8,August
21752756,324900,2020-11-16,Johnson,2020,11,November
21735349,325000,2020-08-27,Johnson,2020,8,August
21731463,325000,2020-08-14,Johnson,2020,8,August
21731027,325000,2020-08-10,Johnson,2020,8,August
21718277,334105,2020-06-11,Johnson,2020,6,June
21716228,339900,2020-06-04,Johnson,2020,6,June
21729630,335986,2020-08-03,Johnson,2020,8,August
21740052,329000,2020-09-23,Johnson,2020,9,September
