"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"2501","21722399","S","SFD","5420 Orwell Ct","4906","$307,000","5","3","0","FranklnTP","VILLAGE AT NEW BETHEL","0","2LEVL","ATTACH","3","2,996","No","2,996","22","HMSR01"
"2501","21735016","S","SFD","7526 Ockley Ln","4906","$308,000","4","2","2","FranklnTP","EDENWILDE","1","2LEVL","ATTACH","2","2,389","Yes","3,215","16","KWIN02"
"2501","21732094","S","SFD","8916 Hemingway Dr","4906","$309,000","3","2","1","FranklnTP","VILLAGE AT NEW BETHEL","1","1LEVL","ATTACH","3","2,333","No","2,333","31","BHHS03"
"2501","21715123","S","CND","7901 King Post Dr","4906","$309,000","2","2","0","FranklnTP","STONEBRIDGE","0","1LEVL","ATTACH","2","1,754","No","1,754","84","CARP12"
"2501","21731369","S","SFD","8503 Blue Marlin Dr","4906","$310,000","4","2","1","FranklnTP","MARLIN MEADOWS","1","2LEVL","ATTACH","3","2,487","No","2,487","3","CESC02"
"2501","21736028","S","SFD","3845 Fisher Rd","4906","$311,000","3","2","1","FranklnTP","NO SUBDIVISION","1","1LEVL","ATTACH,DETATCH","4+","2,014","No","2,014","5","RESL01"
"2501","21721343","S","SFD","7223 Lakeland Trails Blvd","4906","$315,000","3","2","2","FranklnTP","LAKELAND TRAILS","1","2LEVL","ATTACH","3","2,228","Yes","3,688","2","RESL01"
"2501","21695937","S","SFD","10829 Mystic View Ct","4906","$315,000","3","2","0","FranklnTP","SAGEBROOK","1","1LEVL","ATTACH","2","2,241","No","2,241","228","MIHI01"
"2501","21745476","S","SFD","6509 ORVILLE Ln","4906","$317,000","4","2","1","FranklnTP","WRIGHT-BOULDERS","2","2LEVL","ATTACH","2","2,126","Yes","2,976","7","REAB01"
"2501","21728004","S","SFD","8122 Grassy Meadow Ct","4906","$319,000","5","3","0","FranklnTP","MEADOW BEND","1","2LEVL","ATTACH","3","3,602","No","3,602","8","CBCR01"
"2501","21730483","S","SFD","6824 Chorleywood Cir","4906","$320,000","4","3","1","FranklnTP","BRECKENRIDGE","1","2LEVL","ATTACH","2","2,577","Yes","3,991","4","CESC02"
"2501","21744818","S","SFD","8717 New Heritage Dr","4906","$321,000","4","2","1","FranklnTP","MARLIN MEADOWS","0","2LEVL","ATTACH","2","2,647","Yes","3,530","12","CBKA01"
"2501","21740267","S","SFD","8658 Blue Marlin Dr","4906","$323,000","4","3","0","FranklnTP","MARLIN MEADOWS","1","1LOFT","ATTACH","2","2,520","Yes","4,544","6","REDF01"
"2501","21723680","S","SFD","6303 E Stop 11 Rd","4906","$325,000","3","2","0","FranklnTP","METES & BOUNDS","2","1LEVL","ATTACH,MULTI,OTHER","4+","1,848","Yes","3,280","3","CARP11"
"2501","21695867","S","SFD","5844 Lyster Ln","4906","$326,000","3","3","0","FranklnTP","ENCLAVE AT LYSTER LANE","1","2LEVL","ATTACH","2","2,099","No","2,099","195","HMSR01"
