MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21667094,,Residential,Single Fam,,Greenbriar,Jennifer D. Laughner,,149900,149900,2019-09-19,2020-03-19,"Carpenter, REALTORS®",Lacy Nacke
21644422,,Residential,Single Fam,,WELTON,Angela Allen,,160000,160000,2019-06-01,2020-06-01,"Smart Choice Realtors, LLC",Suzanne Roell-Carlson
21662948,,Residential,Single Fam,,Old Smith Valley,Linda Cox,Diane Sheets,174900,159900,2019-08-18,2020-07-18,RE/MAX Results,Darrin E. Galyean
21662325,,Residential,Single Fam,,Morris,Constance Schultz-Heinz,,164990,159990,2019-08-15,2020-02-15,Coldwell Banker - Kaiser,Tim White
21643396,,Residential,Single Fam,,Bluff Acres,Ray Stuck,,164900,159900,2019-05-28,2019-09-06,RE/MAX Ability Plus,Gail E. Watts
21639465,,Residential,Single Fam,,Mount Pleasant East,Craig DeBoor,,155000,155000,2019-05-09,2019-11-11,"Tomorrow Realty, Inc.",Sharon A. Moulder
21682263,,Residential,Single Fam,,OLD SMITH VALLEY,Matthew Jones,,164900,164900,2019-11-20,2020-11-20,The Modglin Group,Matthew Jones
21676475,,Residential,Single Fam,,Village,Julia Berberich,,157500,157500,2019-10-21,2020-04-21,Berkshire Hathaway Home,Mark Gill
21640677,,Residential,Single Fam,,BURKHART,Gregory J. Leugers,Robert Speas,155000,155000,2019-05-14,2019-11-14,"Carpenter, REALTORS®",Morris D Lucas
21648288,,Residential,Single Fam,,MOUNT PLEASANT SOUTH,Kristen Cambridge,,159000,159000,2019-06-20,2019-12-20,Sargent Realty Group LLC,Bob Sargent
21680240,,Residential,Single Fam,,Lake Ridge,Dale T. Field,,159900,159900,2019-11-06,2020-05-06,"Jeneene West Realty, LLC",Jeneene West
21664822,,Residential,Single Fam,,HARRIMAN,Douglas S. Martin,Matthew Nitz,162000,162000,2019-08-31,2020-03-01,CrestPoint Real Estate,Kindra Keller
21664206,,Residential,Single Fam,,DRIFTWOOD,Brian J. Wayman,,165900,165900,2019-08-26,2019-11-26,Keller Williams Indy Metro NE,Anthony Robinson
21662686,,Residential,Single Fam,,Timber Creek,Art Small,,129995,159995,2019-08-18,2020-02-18,"Carpenter, REALTORS®",Brooke Mattson
21653505,,Residential,Single Fam,,Walker,Pam Ozbun,,160000,160000,2019-08-02,2019-11-03,Southern Touch Realty,Ann Pence
21647886,,Residential,Single Fam,,CHASE,Thomas Endicott,,149900,149900,2019-06-21,2019-12-31,CENTURY 21 Scheetz,Victoria Shumaker
21642055,,Residential,Single Fam,,Lincoln Park,"Steve Burkhardt, CRS, CRB, MGRI",,160000,160000,2019-05-20,2019-11-20,RE/MAX Results,Marilyn J. Farley
21632307,,Residential,Single Fam,,Smith Valley,Denise Wilson,,169900,164900,2019-04-20,2019-08-31,"Carpenter, REALTORS®",Kevin Durfee
21638225,,Residential,Single Fam,,Stoneybrook,Jacquie M. Murray,,169900,165900,2019-05-03,2019-10-31,F.C. Tucker Company,Jeff Schafer
21636685,,Residential,Condo,,Cadogan,Mark Dietel,,170000,170000,2019-05-02,2019-09-30,RE/MAX Results,Russell C. Burk III
21655550,,Residential,Single Fam,,Southway,Gregory Keyler,,159500,159500,2019-07-19,2020-01-19,"Weichert, REALTORS - Success!",Shelli Anderson
21668879,,Residential,Single Fam,,Runyon Lake,Jessica N. Kagy,,180000,174900,2019-09-18,2020-10-10,"Carpenter, REALTORS®",Morris D Lucas
21662160,,Residential,Single Fam,,STILLWATER,Jill Johnson,,164900,164900,2019-08-17,2020-02-29,"2.0 Brokerage, LLC",Noah Bradtke - Litwack
21678636,,Residential,Single Fam,,Summit Ridge,Mark Linder,Laurie Brown,179000,179000,2019-10-31,2020-01-31,The Modglin Group,Joshua Groh
21660689,,Residential,Single Fam,,Sable Ridge,Sharon K. House,Michelle Stout,165000,165000,2019-06-05,2019-08-31,Keller Williams Indy Metro S,Sharon K. House
21651882,,Residential,Single Fam,,Lake Ridge,Dawn Whalen,,165000,165000,2019-07-05,2019-12-31,Drake Realty,Pamela Getz
21651077,,Residential,Single Fam,,Bluff,David Baxter,,175900,175900,2019-06-28,2019-12-28,JSSV Realty LLC,Jeromey Schabel
21631667,,Residential,Single Fam,,Woodcreek,Darin Lawson,,1,165000,2019-04-08,2019-06-30,Compass Realty LLC.,Jamie E. Spitler
21678119,,Residential,Single Fam,,Stoneybrook,Rebecca Risch,,175000,170000,2019-10-25,2020-04-25,CENTURY 21 Scheetz,Bob Collins
21644390,,Residential,Single Fam,,Creekside,Morgan L Lathery,Douglas E Lathery,165000,165000,2019-05-31,2019-11-30,F.C. Tucker Company,J. Victor Perr
21664622,,Residential,Single Fam,,Woodcreek,Mike Duncan,,170000,170000,2019-08-27,2020-02-29,Esquire Real Estate Group LLC,Kate Vannoy
21678483,,Residential,Single Fam,,Smokey Row,Ron Rose,,179900,179900,2019-10-30,2019-12-31,"Smythe & Co, Inc",Michelle L. Linton
21676671,,Residential,Single Fam,,Lake Point,Shannon McNulty,John R. Stewart,167500,167500,2019-10-23,2020-04-22,"Front Porch Real Estate, LLC",Teri L. Margason
21654738,,Residential,Single Fam,,WELTON,Marcy Renken,,175000,175000,2019-07-17,2020-01-16,"MYL Realty, LLC",Yajing Liu
21658299,,Residential,Single Fam,,Mahogany,Sheila Short,,163900,163900,2019-07-27,2019-11-30,"eXp Realty, LLC",Amy F. Longoria
21674110,,Residential,Single Fam,,Hunters,Dale T. Field,,169900,169900,2019-10-09,2020-04-09,Lian Realty LLC,C Thawng Thang
21655860,,Residential,Single Fam,,Hunting Creek,Jennifer Laughner,Kelley O'Connor,169900,169900,2019-07-21,2020-01-21,"Carpenter, REALTORS®",Carrie Vavul
21644053,,Residential,Single Fam,,Woodcreek,Russell Burk,Nancy D. Burk,172500,172500,2019-05-31,2019-11-29,CrossRoads Link Realty,Linda Par Cer
21581312,,Residential,Single Fam,,Santa Maria,Joseph Buttler,Stephanie Henry,189000,172900,2018-07-14,2019-03-12,CENTURY 21 Scheetz,Tom D. Pollard
21672713,,Residential,Single Fam,,BURKHART,Morris D Lucas,Misty Lucas,179900,174900,2019-10-04,2020-10-04,"Arsenault Group Realty, Inc.",Kathy Arsenault
21652723,,Residential,Single Fam,,Waterford,Steve Lew,Brian Coffey,175000,178000,2019-07-07,2019-12-27,Keller Williams Indy Metro W,Le Uyen Matthews
21670826,,Residential,Single Fam,,Thornwood,Ron Rose,,184900,184900,2019-09-23,2019-12-31,"Carpenter, REALTORS®",Steven Caldwell
21679334,,Residential,Single Fam,,Michele,Jake R. Stiles,Audri McGrane,179900,174900,2019-11-07,2020-04-07,Plat Collective,Sherry Caldwell
21658601,,Residential,Single Fam,,Aquaduct,Ann Skinner,,174900,174900,2019-07-30,2020-01-31,"2.0 Brokerage, LLC",Noah Bradtke - Litwack
21675376,,Residential,Single Fam,,Smokey Row,Jeffrey Paxson,,175000,175000,2019-10-15,2020-04-15,"American Wholesale Properties,",Sheila Hubbard
21670048,,Residential,Single Fam,,Summit Ridge,Suzanne B. Findley,Kevin Findley,184900,184900,2019-09-22,2020-03-19,"M. Everett Realty, LLC",Megan Everett
21653487,,Residential,Single Fam,,Restin,David Brenton,,189900,184900,2019-07-09,2020-04-09,Keller Williams Indy Metro S,David C. Lucas
21649982,,Residential,Single Fam,,GROVE,Jeffrey K. Elliott,,180000,175000,2019-06-23,2019-12-31,Keller Williams Indy Metro S,Katy Zirkelbach
21646435,,Residential,Single Fam,,ECHO BEND,James A. Schwark,Kristen Schwark,189900,189900,2019-06-13,2019-12-14,F.C. Tucker Company,Jeff Appel
21639101,,Residential,Single Fam,,Commission,Kelly Brissey,Kathy Arsenault,175000,175000,2019-05-11,2019-08-13,F.C. Tucker Company,Whitni Bishop
