"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1001","21732337","S","SFD","130 1st St NW","2910","$1,100,000","5","4","1","Carmelclay","SIMEON HAWKINS","4","2LEVL","ATTACH","3","5,205","Yes","7,166","1","EZST02"
"1001","21728130","S","SFD","1031 Deer Lake Dr","2910","$1,100,000","6","4","1","Carmelclay","BUCKHORN","2","2LEVL","ATTACH","4+","6,486","Yes","8,966","2","CESC05"
"1001","21703616","S","SFD","1863 Hourglass Dr","2910","$1,100,000","5","5","2","Carmelclay","VILLAGE OF WESTCLAY","4","3LEVL","ATTACH","3","5,146","Yes","7,829","138","REAB09"
"1001","21737739","S","SFD","701 Mayfair Ln","2910","$1,125,000","5","3","2","Carmelclay","CLAYBRIDGE","1","2LEVL","ATTACH","4+","3,961","Yes","5,258","6","TUCK14"
"1001","21738916","S","SFD","1031 Deer Lake Dr","2910","$1,135,000","6","4","1","Carmelclay","BUCKHORN","2","2LEVL","ATTACH","4+","6,486","Yes","8,966","3","TUCK18"
"1001","21748234","S","SFD","5017 E 146th St","2910","$1,150,000","7","5","3","Carmelclay","NO SUBDIVISION","2","2LEVL","ATTACH,MULTI","3","6,257","Yes","6,997","6","TUCK14"
"1001","21732914","S","SFD","10679 Kings Mill Dr","2910","$1,199,900","4","3","2","Carmelclay","KINGS MILL","1","2LEVL","ATTACH","3","3,871","Yes","5,662","1","ECOR01"
"1001","21715734","S","SFD","10410 Charter Oaks","2910","$1,200,000","6","6","2","Carmelclay","WINDEMERE","4","2LEVL","ATTACH","4+","7,186","Yes","11,512","58","ECOR01"
"1001","21743669","S","SFD","120 1st Ave NW","2910","$1,205,264","5","4","1","Carmelclay","SIMEON HAWKINS","1","2LEVL","DETATCH","3","3,153","Yes","4,916","31","NBLC01"
"1001","21720072","S","SFD","1256 Laurelwood","2910","$1,250,000","5","3","2","ClayComm","LAURELWOOD","2","2LEVL","ATTACH","4+","4,724","Yes","6,884","26","TUCK14"
"1001","21736865","S","SFD","2289 Finchley Rd","2910","$1,281,000","5","4","1","Carmelclay","VILLAGE OF WESTCLAY","2","2LEVL","ATTACH","3","4,702","Yes","7,105","5","CESC04"
"1001","21709155","S","SFD","13723 Coldwater Dr","2910","$1,287,500","5","4","1","Carmelclay","WOODS AT WILLIAMS CREEK","3","2LEVL","ATTACH","4+","5,414","Yes","8,781","27","ECOR01"
